001  00001 |Loss: 2.308 | Acc: 0.000% 
001  00002 |Loss: 2.309 | Acc: 0.000% 
001  00003 |Loss: 2.312 | Acc: 0.000% 
001  00004 |Loss: 2.312 | Acc: 0.000% 
001  00005 |Loss: 2.306 | Acc: 0.000% 
001  00006 |Loss: 2.312 | Acc: 0.000% 
001  00007 |Loss: 2.311 | Acc: 0.000% 
001  00008 |Loss: 2.310 | Acc: 0.000% 
001  00009 |Loss: 2.311 | Acc: 0.000% 
001  00010 |Loss: 2.312 | Acc: 0.000% 
001  00011 |Loss: 2.312 | Acc: 0.000% 
001  00012 |Loss: 2.311 | Acc: 0.000% 
001  00013 |Loss: 2.309 | Acc: 0.000% 
001  00014 |Loss: 2.307 | Acc: 0.000% 
001  00015 |Loss: 2.308 | Acc: 0.000% 
001  00016 |Loss: 2.307 | Acc: 0.000% 
001  00017 |Loss: 2.306 | Acc: 2.206% 
001  00018 |Loss: 2.305 | Acc: 4.167% 
001  00019 |Loss: 2.302 | Acc: 6.579% 
001  00020 |Loss: 2.301 | Acc: 7.812% 
001  00021 |Loss: 2.301 | Acc: 8.631% 
001  00022 |Loss: 2.299 | Acc: 9.943% 
001  00023 |Loss: 2.299 | Acc: 10.326% 
001  00024 |Loss: 2.297 | Acc: 11.719% 
001  00025 |Loss: 2.295 | Acc: 13.000% 
001  00026 |Loss: 2.295 | Acc: 12.740% 
001  00027 |Loss: 2.293 | Acc: 13.426% 
001  00028 |Loss: 2.292 | Acc: 14.062% 
001  00029 |Loss: 2.291 | Acc: 14.009% 
001  00030 |Loss: 2.289 | Acc: 15.000% 
001  00031 |Loss: 2.289 | Acc: 14.919% 
001  00032 |Loss: 2.287 | Acc: 15.430% 
001  00033 |Loss: 2.286 | Acc: 15.909% 
001  00034 |Loss: 2.284 | Acc: 16.544% 
001  00035 |Loss: 2.283 | Acc: 16.607% 
001  00036 |Loss: 2.282 | Acc: 17.014% 
001  00037 |Loss: 2.280 | Acc: 17.568% 
001  00038 |Loss: 2.279 | Acc: 17.763% 
001  00039 |Loss: 2.277 | Acc: 18.590% 
001  00040 |Loss: 2.276 | Acc: 18.438% 
001  00041 |Loss: 2.274 | Acc: 18.902% 
001  00042 |Loss: 2.273 | Acc: 18.899% 
001  00043 |Loss: 2.272 | Acc: 19.186% 
001  00044 |Loss: 2.270 | Acc: 19.460% 
001  00045 |Loss: 2.269 | Acc: 19.861% 
001  00046 |Loss: 2.267 | Acc: 19.973% 
